averageRating,numVotes
8.2,40273
7.3,15734
6.4,20975
7.8,13171
8.1,51908
8.3,102248
7.7,10849
7.9,83192
8.1,16858
8.1,11421
8.2,35477
8.0,49412
8.2,92362
7.6,15566
8.1,13065
8.3,149049
8.1,74105
8.1,44447
7.5,10469
8.2,23759
8.2,42476
7.9,12056
8.4,20474
7.7,43158
8.0,54487
7.6,12504
7.7,12765
7.3,11110
7.3,11796
8.5,153432
7.5,42855
7.8,60589
8.3,132594
7.5,10690
7.7,16503
7.6,11755
7.9,39539
7.4,16112
7.6,11105
8.2,10836
7.1,21585
7.8,23587
8.0,10709
8.0,12023
7.6,14394
7.8,53210
7.7,27281
7.9,75268
7.8,13383
8.1,87056
6.8,15693
8.0,24733
7.3,14079
7.7,47999
7.8,40496
7.7,12136
7.7,19440
7.9,29131
7.8,16163
7.9,10475
8.5,199107
7.9,18530
8.0,19283
7.6,11616
7.1,13580
7.6,11409
7.7,16583
7.6,12350
8.1,31726
7.7,11391
7.6,169480
7.9,44808
7.9,18747
7.9,52035
7.8,13212
7.5,11055
7.8,43905
7.9,21735
8.1,270669
7.4,10364
8.1,100525
7.9,17670
7.7,11400
8.0,11770
8.1,24883
7.9,39581
8.0,358137
7.8,11829
7.6,15271
7.8,83528
7.5,16948
8.0,82502
8.5,187464
7.9,49735
7.6,10735
7.9,59767
7.4,120787
8.1,113839
8.1,25190
7.5,11079
8.3,373213
7.2,111755
7.5,13977
7.7,19684
7.8,17761
8.0,142965
7.7,11230
7.7,14380
8.0,22368
7.4,29848
7.3,21798
7.3,122371
8.5,489426
7.3,18252
7.5,12101
7.7,20783
7.6,14656
8.0,13943
7.5,10094
7.2,21616
6.4,75527
8.3,24087
7.7,13186
7.1,10198
8.1,12112
8.0,19540
7.9,55333
8.0,62587
8.3,132525
7.8,21940
8.0,54409
8.0,39637
7.7,24868
7.6,18879
7.6,11166
7.9,28803
7.7,12517
7.5,11645
8.0,32718
7.4,13414
8.4,17136
7.9,31354
8.0,20904
7.5,10960
7.8,13001
7.6,40332
6.5,10990
7.9,22839
7.9,75073
7.7,25641
7.8,20763
8.6,368849
7.8,17621
8.1,17768
7.8,19962
7.9,86959
7.5,17225
8.1,21160
7.1,10445
7.4,20556
7.6,12921
7.8,19831
7.6,16452
7.2,13746
7.9,14577
7.9,37677
7.9,14562
8.0,29967
7.5,13658
7.5,15292
7.6,14236
7.8,34883
8.3,132917
7.6,24192
8.0,10228
7.6,11043
7.8,10515
7.8,26142
8.2,26579
8.0,118656
8.2,106490
7.5,18255
7.0,11359
7.5,12279
8.3,12682
